feature,non_positive_frac,min,max,orders_of_magnitude,mean,std,skewness,kurtosis,corr_value_roll_var,corr_value_roll_abs_dev,log_skewness,log_kurtosis,qq_r,qq_r_log,skewness_reduction,kurtosis_reduction,qq_r_improvement,log_candidate,log_possible,has_negatives
cme_hours_since_last_cme,0.006921056499594195,0.0,1000000.0,,198.0025790468157,13134.335933937693,76.10785656708727,5790.554482901515,,,0.4115834438664182,0.4097290459355878,0.05387769471575394,0.9898147601830188,75.69627312322085,5790.144753855579,0.9359370654672649,False,True,False
cme_min_hours_since_last_cme_6h,0.03883588213114859,0.0,1000000.0,,194.14667442063597,13134.384621523533,76.1078907733019,5790.557953799693,,,0.595282265321223,-0.3670794831488431,0.053778164865862184,0.9515683954708823,75.51260850798069,5790.190874316544,0.8977902306050202,False,True,False
radio_flux_f107_std_72h,0.0004537350059752427,0.0,225.81939774808296,,4.583800939479538,10.434225542132646,10.961032063876392,158.56838091970207,,,1.0131148653072763,2.237089494559063,0.538956716587554,0.9702702329804757,9.947917198569115,156.331291425143,0.4313135163929217,False,True,False
kp_ap,0.07089769234210341,0.0,400.0,,10.523974463026988,16.428344847998602,7.310495517421976,93.67199277021247,,,0.09516462338005038,0.536223218928777,0.6751200513931057,0.9840153257589166,7.215330894041926,93.13576955128369,0.3088952743658109,False,True,False
dst_dst_std_6h,0.00029396915880086145,0.0,158.56088911063637,,4.102976600467982,4.572172052997215,6.960445194661818,100.20134993446283,,,0.8818669886448884,1.3265343219718009,0.7673559130364638,0.9815264103976605,6.07857820601693,98.87481561249102,0.21417049736119675,False,True,False
imf_solar_wind_density,0.3167070341707194,0.0,104.33483581542968,,3.916459809586328,4.735401362157985,3.207259709888204,21.97467771799961,,,-0.056028707925344236,-1.082456742756673,0.8675725392949241,0.9443261917509409,3.1512310019628598,20.89222097524294,0.07675365245601684,False,True,False
imf_solar_wind_bt,0.0002492347215920347,0.0,71.99326705932617,,5.914600979805947,3.1959710552032368,2.9916997001808996,21.5027749550462,,,0.42169906737329205,0.9625700573658365,0.8941576129209599,0.9929288585136297,2.5700006328076075,20.54020489768036,0.09877124559266981,False,True,False
radio_flux_f107,0.0,63.6,924.4,1.1624028211586577,117.25670153822557,45.35165591000576,1.643175740230391,9.359180563640626,,,0.4112492252782491,-0.5840930379744789,0.9464486474150636,0.978130518336217,1.231926514952142,8.775087525666148,0.03168187092115338,False,True,False
imf_solar_wind_temperature,0.153886463998364,0.0,1848796.9333333333,,85294.75279904252,89059.06341735534,2.967007158251589,19.20367558190095,,,-1.7872143543156596,1.4197971219894052,0.8852381354562016,0.7777090143571949,1.1797928039359293,17.783878459911545,-0.1075291210990067,False,True,False
radio_flux_f107_mean_24h,0.0,64.125,508.8875,0.8995944051415206,117.2607013560925,44.394963743674545,1.1162715782871941,1.6214962198363363,,,0.3776579393759413,-0.7656393823644256,0.9492999100516503,0.9781230186211095,0.7386136389112529,0.8558568374719107,0.028823108569459244,False,True,False
