number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_gamma,params_learning_rate,params_max_depth,params_min_child_weight,params_n_estimators,params_reg_alpha,params_reg_lambda,params_subsample,state
0,0.0070034806741066736,2026-01-13 13:09:20.874154,2026-01-13 13:09:23.809964,0 days 00:00:02.935810,0.6045465651814484,3.1305534400277817,0.012957146465830384,8,0.8712935331243847,1147,3.044064284032678e-08,0.1754150715031041,0.902223760789956,COMPLETE
1,0.006989751295791302,2026-01-13 13:09:23.811019,2026-01-13 13:09:28.639898,0 days 00:00:04.828879,0.5007018992238187,1.7642361128746726,0.012392612153238778,8,1.0413925033121176,1792,4.277669378994893e-09,0.19510778951104502,0.9375673357453008,COMPLETE
2,0.007144275182241824,2026-01-13 13:09:28.640928,2026-01-13 13:09:33.839930,0 days 00:00:05.199002,0.6050901747926642,1.9417138523356492,0.013676957745667958,8,2.6869735749321912,1729,2.1171122666284627e-08,0.2228059726797438,0.8393130409414412,COMPLETE
3,0.0070112466229184135,2026-01-13 13:09:33.841119,2026-01-13 13:09:37.278195,0 days 00:00:03.437076,0.5693885162652249,2.5762815548472875,0.013434069319297335,8,2.1631362771079994,1111,1.3490403061803372e-08,0.14062309695561293,0.813758562452937,COMPLETE
4,0.006967478898169991,2026-01-13 13:09:37.279137,2026-01-13 13:09:42.066861,0 days 00:00:04.787724,0.5837984734874444,2.3671071533536354,0.009193057415286506,9,2.8842369817143947,1630,6.880916133374535e-08,0.11517148842886668,0.9365882023025119,COMPLETE
5,0.007028049486863226,2026-01-13 13:09:42.067789,2026-01-13 13:09:44.975614,0 days 00:00:02.907825,0.524152908962932,1.7704869005492,0.015157324171745555,8,3.1788599190423708,1090,4.251023257600079e-08,0.1098506892511576,0.9924210695412148,COMPLETE
6,0.006966388409253642,2026-01-13 13:09:44.976593,2026-01-13 13:09:48.829154,0 days 00:00:03.852561,0.5063375294558783,2.1399310831933747,0.014394420240348238,9,1.764353515809414,1538,6.546014047333379e-08,0.11229771025759878,0.9266876519076876,COMPLETE
7,0.007010090814219767,2026-01-13 13:09:48.830164,2026-01-13 13:09:53.240201,0 days 00:00:04.410037,0.528263465737181,3.5824230368250087,0.009064740489242629,8,1.4892597265590526,1824,5.1124148109388603e-08,0.18531541959307135,0.8770520776572032,COMPLETE
8,0.0070137660773417635,2026-01-13 13:09:53.241155,2026-01-13 13:09:57.806083,0 days 00:00:04.564928,0.5809516308847339,2.7403661825558787,0.013622330390425607,8,3.0825901080415647,1850,5.4761475841952343e-08,0.2247490425809375,0.8585463397636367,COMPLETE
9,0.007018883651720398,2026-01-13 13:09:57.807050,2026-01-13 13:10:01.799147,0 days 00:00:03.992097,0.591710009606885,3.3021626852910115,0.006701655930233958,9,3.225791954777833,1146,6.07283804402313e-08,0.11186273265689645,0.8965493283635358,COMPLETE
10,0.007018924848039415,2026-01-13 13:10:01.799999,2026-01-13 13:10:04.596195,0 days 00:00:02.796196,0.5462228811337456,2.301076871049305,0.02507725823863349,7,1.869328395754578,1440,1.2260034305782298e-08,0.14431126115551293,0.9891011200618101,COMPLETE
11,0.0069892922233339904,2026-01-13 13:10:04.597026,2026-01-13 13:10:09.127724,0 days 00:00:04.530698,0.5615348548117324,2.2289602985750685,0.009486836736878296,9,2.3519371246191536,1546,9.846327494226333e-08,0.12999119705365536,0.9399184494161048,COMPLETE
12,0.007039988299527939,2026-01-13 13:10:09.128786,2026-01-13 13:10:12.759975,0 days 00:00:03.631189,0.5012803534312805,2.2002670945211884,0.01964494396784909,9,1.6862509707251958,1605,9.436987217088161e-08,0.1016564313360846,0.9451251711074693,COMPLETE
13,0.006992574368836384,2026-01-13 13:10:12.760927,2026-01-13 13:10:16.448345,0 days 00:00:03.687418,0.54466462728574,2.7314210771149137,0.009905449432349786,9,2.593650721978288,1302,2.6337689845556685e-08,0.12636615503321605,0.9178396771484044,COMPLETE
14,0.007028173073911186,2026-01-13 13:10:16.449302,2026-01-13 13:10:21.105355,0 days 00:00:04.656053,0.5227268422324123,2.4945916347540567,0.007141217416492138,9,1.3464579796945493,1610,7.666910327904202e-08,0.15498813086839316,0.9591582769573113,COMPLETE
15,0.007024725423011881,2026-01-13 13:10:21.106269,2026-01-13 13:10:24.394675,0 days 00:00:03.288406,0.5782890869578912,1.995735302320071,0.017063422341060452,7,2.7172580549868215,1403,3.739278580482682e-08,0.12282619968216245,0.9666636527452848,COMPLETE
16,0.007014563848291319,2026-01-13 13:10:24.395680,2026-01-13 13:10:28.711564,0 days 00:00:04.315884,0.5578111366404062,2.969364419995018,0.011041728970806918,9,2.0607179612184234,1690,7.899032739308689e-09,0.15050735576918028,0.9174610536924654,COMPLETE
17,0.006923489667006251,2026-01-13 13:10:28.712506,2026-01-13 13:10:35.199939,0 days 00:00:06.487433,0.587358498176606,2.343826345061048,0.008684678851230832,9,1.7895042844049642,1480,6.425905765470246e-08,0.1700669873465753,0.8758685319919204,COMPLETE
18,0.006986806151973542,2026-01-13 13:10:35.200915,2026-01-13 13:10:43.996120,0 days 00:00:08.795205,0.5372451032388414,2.047043493656197,0.007880629322040386,9,1.3137211632938235,1475,1.4475146916533002e-08,0.17017151978931477,0.7937973097936925,COMPLETE
19,0.00705758147351469,2026-01-13 13:10:43.997591,2026-01-13 13:10:48.691123,0 days 00:00:04.693532,0.5149668440006997,2.9008191232556024,0.018943978847887767,7,1.7985330312226506,1304,4.3264066736650304e-08,0.20169386288085814,0.868126829755368,COMPLETE
20,0.007000318373410209,2026-01-13 13:10:48.692277,2026-01-13 13:10:54.561588,0 days 00:00:05.869311,0.5686900370119653,2.488691188712734,0.011138815066597543,9,2.2840217397086056,1333,3.054368105907598e-08,0.16140666144739985,0.843313474315099,COMPLETE
21,0.006951531430888264,2026-01-13 13:10:54.562584,2026-01-13 13:11:00.584906,0 days 00:00:06.022322,0.5914727574628436,2.4387297259886687,0.008312368569652749,9,1.617569212857154,1551,7.460494317132482e-08,0.13459065974138093,0.910732857720298,COMPLETE
22,0.0070145280724518986,2026-01-13 13:11:00.586162,2026-01-13 13:11:07.244027,0 days 00:00:06.657865,0.5938751839700176,2.08120100151847,0.008069185082649545,9,1.5929993510329212,1500,7.604874260403747e-08,0.13288205299858524,0.885843025573876,COMPLETE
23,0.006937712159143321,2026-01-13 13:11:07.245368,2026-01-13 13:11:15.021509,0 days 00:00:07.776141,0.5937671597752221,2.377141683969197,0.007874493274120656,9,1.9264782218880288,1543,5.512904023301102e-08,0.1410961279768589,0.9159341691683354,COMPLETE
24,0.006918925340816655,2026-01-13 13:11:15.022551,2026-01-13 13:11:20.823655,0 days 00:00:05.801104,0.5923958129640864,2.4090114731259553,0.008006661240064697,9,2.0356491374439187,1380,4.7714369877548694e-08,0.14011433719456184,0.9050436844887577,COMPLETE
25,0.006996469433952904,2026-01-13 13:11:20.824691,2026-01-13 13:11:25.366305,0 days 00:00:04.541614,0.5964951484721019,2.671958081056534,0.007281487539455229,9,1.9751540285709608,1237,3.688737292419664e-08,0.16213147805384928,0.8881191489957792,COMPLETE
26,0.006983208092409015,2026-01-13 13:11:25.367317,2026-01-13 13:11:30.292899,0 days 00:00:04.925582,0.5731129597270397,2.3463643366975178,0.010600684264328303,9,2.407936991177864,1384,5.026451303165176e-08,0.17998900176895394,0.8565522350112615,COMPLETE
27,0.007015492320719827,2026-01-13 13:11:30.294308,2026-01-13 13:11:35.167320,0 days 00:00:04.873012,0.5860064106237147,2.916527949123343,0.006582351666825457,9,1.999603581292692,1241,2.5751165636600648e-08,0.14835383256602888,0.902599522921156,COMPLETE
28,0.00698083541653356,2026-01-13 13:11:35.168320,2026-01-13 13:11:41.510504,0 days 00:00:06.342184,0.6011701906332735,2.584909825172156,0.008340873429158258,8,2.191463891536762,1371,2.0672017149262856e-08,0.15619557070635615,0.8719961921490731,COMPLETE
29,0.006918487467299626,2026-01-13 13:11:41.511464,2026-01-13 13:11:47.646377,0 days 00:00:06.134913,0.6015494026856497,1.926918772615924,0.0074816382651833446,8,0.9318377958309658,1463,3.302542329204817e-08,0.1742826557782859,0.9044350653245756,COMPLETE
