number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_gamma,params_learning_rate,params_max_depth,params_min_child_weight,params_n_estimators,params_reg_alpha,params_reg_lambda,params_subsample,state
0,0.008379923135145427,2026-01-13 13:22:25.922992,2026-01-13 13:22:34.467061,0 days 00:00:08.544069,0.9996551782106479,0.39080849794561034,0.0073349632310333885,11,11.232714109807693,1011,8.021677840215098e-06,2.922556711945117,0.7140634632887591,COMPLETE
1,0.008304578171059576,2026-01-13 13:22:34.468051,2026-01-13 13:22:41.549419,0 days 00:00:07.081368,0.9289165135131334,2.1376622227231246,0.006870988973216912,13,6.665278043400598,1131,3.803732557806212e-05,3.4189412449093632,0.9016455601199855,COMPLETE
2,0.008150397376823484,2026-01-13 13:22:41.550550,2026-01-13 13:22:52.171786,0 days 00:00:10.621236,0.9438284571668591,0.6475252175727537,0.003196838460027847,12,3.0833533201342314,1486,6.35622007925683e-05,2.4177759284882,0.748194572339183,COMPLETE
3,0.008342232577943615,2026-01-13 13:22:52.173034,2026-01-13 13:22:59.699396,0 days 00:00:07.526362,0.9855632751820033,0.32356696252984096,0.004509361114234935,11,7.9557831233423215,1316,5.3998176809591066e-06,5.628286972335079,0.7982703223680504,COMPLETE
4,0.008402251079708326,2026-01-13 13:22:59.700590,2026-01-13 13:23:09.883455,0 days 00:00:10.182865,0.8718220121907675,0.33291945035481296,0.002571196716539669,13,8.997038495340684,1636,1.338792199726966e-05,3.1688280184725093,0.7449237754500495,COMPLETE
5,0.008228579056763184,2026-01-13 13:23:09.884416,2026-01-13 13:23:19.845959,0 days 00:00:09.961543,0.8727143721107891,1.4176816412584572,0.003381818576011947,13,4.421725562497308,1556,8.513478615844648e-06,3.7790816858599214,0.8159572833397623,COMPLETE
6,0.008316633327037151,2026-01-13 13:23:19.846886,2026-01-13 13:23:26.706547,0 days 00:00:06.859661,0.9818299752134457,1.5618535626012355,0.0053487267850057104,13,8.168593305303082,1225,2.1084951279539617e-05,2.9922625123693676,0.7889299054025364,COMPLETE
7,0.008345120147252187,2026-01-13 13:23:26.707458,2026-01-13 13:23:33.112754,0 days 00:00:06.405296,0.8834790163808475,1.9689053597851816,0.006581750410300946,13,9.631381077507065,1115,5.298629527689878e-05,3.7906393788575983,0.7217741581001974,COMPLETE
8,0.008363211944223969,2026-01-13 13:23:33.113721,2026-01-13 13:23:42.092973,0 days 00:00:08.979252,0.8735596972598468,1.1043763737831056,0.003239818928593258,12,9.805997003550724,1700,1.0290295527671689e-05,4.962431186222069,0.8538927814993418,COMPLETE
9,0.008295098487601496,2026-01-13 13:23:42.093922,2026-01-13 13:23:50.335461,0 days 00:00:08.241539,0.9622447601941011,1.994225556995556,0.004728015097936166,13,6.731015966043232,1339,5.987938852130163e-05,6.196790122854617,0.7408467926793766,COMPLETE
10,0.008101608669420324,2026-01-13 13:23:50.336541,2026-01-13 13:23:59.808724,0 days 00:00:09.472183,0.9232593298697644,0.7389943684461501,0.009218473213109606,12,3.4386923621549332,1422,8.715094625182911e-05,1.7592479489118396,0.7628356818301084,COMPLETE
11,0.008199411579118554,2026-01-13 13:23:59.809598,2026-01-13 13:24:09.450745,0 days 00:00:09.641147,0.9251797891175177,0.8431100185431943,0.009975712754290104,12,4.13486082645585,1454,0.00012024267195756449,1.8022558278877314,0.769753113770939,COMPLETE
12,0.00803006496186371,2026-01-13 13:24:09.451713,2026-01-13 13:24:18.729595,0 days 00:00:09.277882,0.907287593656863,0.7996826957095533,0.009465629708257045,12,3.082907743302298,1456,0.00012392103967774021,1.810268545896118,0.7649046036301611,COMPLETE
13,0.008260274736631117,2026-01-13 13:24:18.730833,2026-01-13 13:24:27.348640,0 days 00:00:08.617807,0.9060360818242942,0.8814194556515365,0.009970186445188567,12,5.06618891602544,1407,0.0001072292463485074,1.7353468699060326,0.8380928898669111,COMPLETE
14,0.008026063894228915,2026-01-13 13:24:27.349801,2026-01-13 13:24:39.831854,0 days 00:00:12.482053,0.9103529834299667,0.6781913608900483,0.008526145399543009,12,3.300243074057879,1547,8.399197230797363e-05,2.3293789455658773,0.7749242755025865,COMPLETE
15,0.0083019185683368,2026-01-13 13:24:39.832840,2026-01-13 13:24:50.544904,0 days 00:00:10.712064,0.8992887220886008,1.15565575236846,0.008049456511301149,11,5.954241345872278,1574,3.158520759059033e-05,2.475282161154465,0.7774311990087478,COMPLETE
16,0.008242518138027321,2026-01-13 13:24:50.545726,2026-01-13 13:25:03.984935,0 days 00:00:13.439209,0.9025924226332365,0.5852885851708555,0.006127553664440539,12,5.344117891841532,1549,7.852433024834023e-05,4.716855331181187,0.8206907075772423,COMPLETE
17,0.007951710397006694,2026-01-13 13:25:03.986063,2026-01-13 13:25:17.390999,0 days 00:00:13.404936,0.9498694835087227,0.9882409151705023,0.008315578403782817,12,2.986874498196305,1703,4.211508057714118e-05,2.445486759610345,0.8661789056735527,COMPLETE
18,0.00807674618168033,2026-01-13 13:25:17.392191,2026-01-13 13:25:28.658207,0 days 00:00:11.266016,0.9420038999363693,1.3531801110205288,0.008227063366365564,11,4.128119594128319,1714,1.895778950865955e-05,2.4586162615234013,0.8833638491303869,COMPLETE
19,0.00827753297589842,2026-01-13 13:25:28.659400,2026-01-13 13:25:42.720703,0 days 00:00:14.061303,0.9576670372031761,1.0308346063927205,0.005745396895234891,12,5.206425618024884,1626,4.01314582594583e-05,6.779706845080618,0.8441715163311986,COMPLETE
20,0.008168068372724407,2026-01-13 13:25:42.722130,2026-01-13 13:25:53.164971,0 days 00:00:10.442841,0.9609019155346832,1.676936707720261,0.008150511553410218,11,3.9597487771758955,1644,2.8141541297935196e-05,4.281441422042357,0.8747704397594332,COMPLETE
21,0.008014940803254876,2026-01-13 13:25:53.166061,2026-01-13 13:26:07.001799,0 days 00:00:13.835738,0.9135270884063171,0.9674321826195557,0.008845844963759428,12,3.1183097275948692,1506,8.908388336603351e-05,2.2386759459141587,0.7920560078667338,COMPLETE
22,0.007959177113878354,2026-01-13 13:26:07.002976,2026-01-13 13:26:18.026285,0 days 00:00:11.023309,0.9142130404337057,0.5091361249475835,0.007583761433020232,12,3.0572302983793036,1513,4.836262329603755e-05,2.4504490999012525,0.806030602330471,COMPLETE
23,0.008145266259122097,2026-01-13 13:26:18.027319,2026-01-13 13:26:26.416393,0 days 00:00:08.389074,0.891584901903321,0.4862749902313747,0.007175019627234553,12,4.520885598644899,1330,4.7337469018362957e-05,2.641019091795063,0.8009817353123142,COMPLETE
24,0.00798995521349468,2026-01-13 13:26:26.417426,2026-01-13 13:26:35.750303,0 days 00:00:09.332877,0.9181339338543415,0.9622872213768288,0.007433087840128418,12,2.9486867092514504,1501,6.891128049964995e-05,3.609178468296413,0.8270507158021264,COMPLETE
25,0.008337966302049171,2026-01-13 13:26:35.751363,2026-01-13 13:26:46.876444,0 days 00:00:11.125081,0.9411544775682756,0.20921413820002216,0.007402251207899989,12,5.800215052216389,1641,4.004898310003088e-05,3.626980741763624,0.8633067495481257,COMPLETE
26,0.008102351390809637,2026-01-13 13:26:46.877432,2026-01-13 13:26:55.593398,0 days 00:00:08.715966,0.9183191580928719,1.2683734756364082,0.0061826416182183515,11,3.935284937983841,1375,6.418330242010391e-05,4.187350943394097,0.8250238107220431,COMPLETE
27,0.00823391469969748,2026-01-13 13:26:55.594484,2026-01-13 13:27:03.824095,0 days 00:00:08.229611,0.949863117460662,0.5337964525470081,0.004284153599626927,12,4.627511680399213,1276,2.361039340024253e-05,3.3977600867891837,0.8340565903680107,COMPLETE
28,0.008064871813949291,2026-01-13 13:27:03.825182,2026-01-13 13:27:13.970068,0 days 00:00:10.144886,0.9713013843190472,0.9967695016138705,0.005279538599346261,12,3.7087327952166955,1588,4.7548916569514717e-05,2.844330518516276,0.8586113107694415,COMPLETE
29,0.00834143050351151,2026-01-13 13:27:13.971039,2026-01-13 13:27:25.288937,0 days 00:00:11.317898,0.9349301604023728,0.4431022953944708,0.007436594860248147,11,6.217976937991371,1684,1.634572818296171e-05,4.830331191440534,0.9075437945554025,COMPLETE
