number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_gamma,params_learning_rate,params_max_depth,params_min_child_weight,params_n_estimators,params_reg_alpha,params_reg_lambda,params_subsample,state
0,0.005872674551119085,2026-01-13 13:02:56.266440,2026-01-13 13:02:58.255677,0 days 00:00:01.989237,0.6769300393056505,3.404010375750522,0.022496067282063905,14,3.569661387323463,835,9.234791080448651e-05,2.7016480077401406,0.9036405963611801,COMPLETE
1,0.006066001540936973,2026-01-13 13:02:58.256493,2026-01-13 13:03:00.767854,0 days 00:00:02.511361,0.6163203105708578,2.939082590439729,0.031122762327421085,14,10.2449789888468,927,0.00121507458761628,2.842898709346226,0.9152074785635675,COMPLETE
2,0.005898082243305264,2026-01-13 13:03:00.768698,2026-01-13 13:03:02.254953,0 days 00:00:01.486255,0.5846233386504716,3.3363844648084893,0.03033031852298337,15,6.794590730731649,696,0.0015344422701806676,4.348690695495053,0.9347460604989115,COMPLETE
3,0.005808956186803906,2026-01-13 13:03:02.255968,2026-01-13 13:03:04.243383,0 days 00:00:01.987415,0.5726454792325338,2.5716601434715245,0.023526642394255882,16,3.5101653526143832,971,0.0010752429270242839,1.8300357424416502,0.9960888093842994,COMPLETE
4,0.006076800143326313,2026-01-13 13:03:04.244220,2026-01-13 13:03:06.732676,0 days 00:00:02.488456,0.5273406744844212,3.715934873465088,0.00856922479738883,15,10.898923193736294,954,0.00043030572419519667,4.682390869284227,0.9095072234897082,COMPLETE
5,0.006082632124443709,2026-01-13 13:03:06.733549,2026-01-13 13:03:08.099606,0 days 00:00:01.366057,0.5185404054049869,3.118161571039843,0.03270867419391469,14,11.185324981586737,637,0.0020387994286077166,4.908755761932377,0.9492611364971202,COMPLETE
6,0.0061072443891142915,2026-01-13 13:03:08.100503,2026-01-13 13:03:09.827828,0 days 00:00:01.727325,0.5071790448662538,2.6790463317198294,0.02825853016507296,16,11.950565703255256,939,0.0004931361736130947,1.5791463092051743,0.9959166760548349,COMPLETE
7,0.005961917777262044,2026-01-13 13:03:09.828662,2026-01-13 13:03:11.970662,0 days 00:00:02.142000,0.6188232392826041,4.314146420218605,0.016683939375244535,14,6.982402395253825,1149,0.002038695589334434,1.7167237459745848,0.9829620792639671,COMPLETE
8,0.006085348746705395,2026-01-13 13:03:11.971493,2026-01-13 13:03:13.966156,0 days 00:00:01.994663,0.5090530618888943,4.536690982603053,0.01962831579501128,16,11.786316233208879,1080,0.0006234730781891598,1.7506536354931768,0.976674179145115,COMPLETE
9,0.005904244470570019,2026-01-13 13:03:13.966993,2026-01-13 13:03:16.170734,0 days 00:00:02.203741,0.5014371212594003,3.4139819309333577,0.014241435999888728,16,3.761723276231899,949,0.0001456875440895356,2.118738106381977,0.9571487550001954,COMPLETE
10,0.0059066818674188455,2026-01-13 13:03:16.171614,2026-01-13 13:03:18.701042,0 days 00:00:02.529428,0.5668268444602869,2.5523237483867716,0.011417670440160196,16,5.486899476214404,822,0.000860847564263864,3.6356957910131884,0.9696006334637184,COMPLETE
11,0.005865113101295102,2026-01-13 13:03:18.701897,2026-01-13 13:03:20.423097,0 days 00:00:01.721200,0.6947366964260865,3.845024627521677,0.022053840123070472,15,3.2988270715348067,817,9.646802920661374e-05,2.66791087582147,0.895919574866382,COMPLETE
12,0.005895805530881586,2026-01-13 13:03:20.423953,2026-01-13 13:03:22.150281,0 days 00:00:01.726328,0.6856550252772963,3.973885077088688,0.023072829521992574,15,4.982883920374704,818,0.0002546717575520791,2.3299770685647814,0.9343539486344502,COMPLETE
13,0.005919586989849861,2026-01-13 13:03:22.151152,2026-01-13 13:03:24.246668,0 days 00:00:02.095516,0.6488113801192603,3.8928588986149864,0.02399854081325968,15,3.068968910025121,1042,0.0002665470846573932,3.713529309213535,0.9252184177915548,COMPLETE
14,0.00603387022530413,2026-01-13 13:03:24.247536,2026-01-13 13:03:25.983496,0 days 00:00:01.735960,0.5612449432327881,4.128621183579926,0.01728204484275036,15,8.895195140582349,743,0.0009473083436943924,1.335293004052464,0.8970104057685271,COMPLETE
15,0.005923608650165507,2026-01-13 13:03:25.984384,2026-01-13 13:03:27.931992,0 days 00:00:01.947608,0.6527884104410969,3.7208024620148983,0.0245758661412184,16,4.90778822856565,1012,0.00027473482691314414,3.3668463665854986,0.9985976938350974,COMPLETE
16,0.0059136463777719125,2026-01-13 13:03:27.932929,2026-01-13 13:03:31.182132,0 days 00:00:03.249203,0.5459494834340377,3.001272297172126,0.01370373870386419,15,5.894666791290206,858,9.2383270599773e-05,2.257648292368491,0.9616765560281069,COMPLETE
17,0.0060146119054003975,2026-01-13 13:03:31.183045,2026-01-13 13:03:34.032839,0 days 00:00:02.849794,0.6020472405406934,3.648649786077158,0.019031977853530016,15,8.72876898672534,772,0.00016241873332488836,2.6593026696392177,0.9402820634999334,COMPLETE
18,0.00585112430571539,2026-01-13 13:03:34.033784,2026-01-13 13:03:37.008400,0 days 00:00:02.974616,0.6448893607351548,2.8139247449092166,0.02589485135259264,16,4.4762700991778175,881,0.0007262160023147782,3.181869582215049,0.9856702697594357,COMPLETE
19,0.005877721406343671,2026-01-13 13:03:37.009404,2026-01-13 13:03:40.063891,0 days 00:00:03.054487,0.6407852773484177,2.654852843627855,0.026428128268444005,16,4.222693901529227,884,0.0007389867173183877,4.001441792780229,0.9863446167422567,COMPLETE
20,0.005907955946967492,2026-01-13 13:03:40.064885,2026-01-13 13:03:43.908356,0 days 00:00:03.843471,0.5881832371384199,2.824672046700396,0.02019975748562686,16,6.332871256116961,992,0.0013146066022490918,3.186224623158312,0.9890795331379613,COMPLETE
21,0.005891434102437427,2026-01-13 13:03:43.909422,2026-01-13 13:03:47.311745,0 days 00:00:03.402323,0.6695568872027922,3.1697966204325816,0.026864921470411588,16,4.354069695999304,883,0.000492187652685078,3.0269303698378067,0.9703857068255721,COMPLETE
22,0.005847215402865258,2026-01-13 13:03:47.312765,2026-01-13 13:03:51.087450,0 days 00:00:03.774685,0.6949579876007616,2.797039842863248,0.021267301011635993,16,3.0672637214471217,781,0.0003559320096125108,2.0230838973572025,0.9205954720748738,COMPLETE
23,0.005928160116984041,2026-01-13 13:03:51.089274,2026-01-13 13:03:53.775972,0 days 00:00:02.686698,0.6648532429933942,2.8056303642323375,0.016556352090026115,16,4.6356780836505465,735,0.0003881598802005301,2.0210197260160734,0.9996165122246219,COMPLETE
24,0.005822100612156238,2026-01-13 13:03:53.776868,2026-01-13 13:03:56.523138,0 days 00:00:02.746270,0.6294787705866473,2.551991520931929,0.020887136876685457,16,3.964869746739084,1087,0.0006293441798140844,1.2730082663187239,0.9183368794247878,COMPLETE
25,0.005850717221847302,2026-01-13 13:03:56.524024,2026-01-13 13:03:59.275220,0 days 00:00:02.751196,0.5725159758811246,2.605488228200505,0.02074509148507662,16,3.0761414090140957,1122,0.00032762008500576803,1.3208497765402683,0.9201591606679634,COMPLETE
26,0.005942432906837883,2026-01-13 13:03:59.276431,2026-01-13 13:04:01.950658,0 days 00:00:02.674227,0.6254072025591193,3.0084842762663144,0.018368382172808312,16,7.744480238681401,1089,0.0010928398452221845,1.9186047992821644,0.9298175417165317,COMPLETE
27,0.0058961359258684655,2026-01-13 13:04:01.951541,2026-01-13 13:04:04.793519,0 days 00:00:02.841978,0.6018938930529885,2.6957772663857216,0.0146223452998204,16,5.489399303685579,1044,0.0005544388652302326,1.5383577626904419,0.9481318462549484,COMPLETE
28,0.005814923090960405,2026-01-13 13:04:04.794510,2026-01-13 13:04:07.161853,0 days 00:00:02.367343,0.5452144685438759,2.8601478453260136,0.02137630336830489,16,3.953880980284759,998,0.00021497594719225882,1.2476803580888403,0.913935268606944,COMPLETE
29,0.005787586715250157,2026-01-13 13:04:07.162785,2026-01-13 13:04:09.869788,0 days 00:00:02.707003,0.5425372485401061,3.2175804019280405,0.015502374779410187,16,3.7832736043182695,999,0.0001531149904243841,1.3242096884059573,0.9045805138355159,COMPLETE
