number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_gamma,params_learning_rate,params_max_depth,params_min_child_weight,params_n_estimators,params_reg_alpha,params_reg_lambda,params_subsample,state
0,0.007912829801717638,2026-01-13 13:14:57.961365,2026-01-13 13:14:59.344728,0 days 00:00:01.383363,0.5050346960848106,2.5008517763397604,0.10234940121933943,3,2.673580673302633,563,0.0003786357902340245,14.085513254681253,0.9547734272848634,COMPLETE
1,0.007835348155279817,2026-01-13 13:14:59.345549,2026-01-13 13:15:00.913653,0 days 00:00:01.568104,0.5424380236242592,2.022461998747954,0.06993521952913408,3,2.846719205063603,860,7.910490377049678e-05,14.118765540541936,0.9546591037256525,COMPLETE
2,0.008130064645094677,2026-01-13 13:15:00.914694,2026-01-13 13:15:02.953318,0 days 00:00:02.038624,0.6199216538947818,1.7604266081878415,0.1605866166958356,3,4.187546013443545,829,0.00016889304048671908,9.355436039763683,0.8782700011576775,COMPLETE
3,0.008009719650428567,2026-01-13 13:15:02.954206,2026-01-13 13:15:05.230916,0 days 00:00:02.276710,0.6341833950674183,0.7885963933249378,0.06641246934976541,3,3.2728281736606744,872,0.000382034642501494,9.656409051749062,0.9166624772636636,COMPLETE
4,0.008111604482696143,2026-01-13 13:15:05.231884,2026-01-13 13:15:06.601714,0 days 00:00:01.369830,0.627845424725066,1.2500701444670579,0.0813145777808768,2,6.625837002422555,637,3.61388002900123e-05,8.941085055128243,0.8836162248716396,COMPLETE
5,0.007899096727883113,2026-01-13 13:15:06.602612,2026-01-13 13:15:07.994250,0 days 00:00:01.391638,0.5727615164228635,2.571384158482342,0.0767888902426515,2,3.0472242389127,753,0.0002198106336835667,16.65291469997697,0.9529384143541904,COMPLETE
6,0.007725192536684699,2026-01-13 13:15:07.995312,2026-01-13 13:15:09.644774,0 days 00:00:01.649462,0.5508730986411936,1.2786051429936014,0.10063354924516527,2,2.9729895859131403,918,4.1138459664392844e-05,12.273451424693082,0.9679893850189557,COMPLETE
7,0.0077764639015046695,2026-01-13 13:15:09.645700,2026-01-13 13:15:10.921509,0 days 00:00:01.275809,0.5550784038849674,2.632492125299777,0.06981873925665892,3,3.1775694833118506,695,2.2623953628469187e-05,6.819473722059865,0.9534831224445337,COMPLETE
8,0.007881873056348002,2026-01-13 13:15:10.922357,2026-01-13 13:15:12.563728,0 days 00:00:01.641371,0.5973568326731897,1.937691101906829,0.06463891476521212,3,5.134110950987375,834,6.7045066772289e-05,7.626717399123976,0.9363954595659485,COMPLETE
9,0.00803552568195476,2026-01-13 13:15:12.564654,2026-01-13 13:15:14.513450,0 days 00:00:01.948796,0.5695564587722889,0.8823728701209321,0.07133238048445369,3,5.653692671126561,778,4.9212168882914796e-05,8.222351421883873,0.9173280474303223,COMPLETE
10,0.007757085116114777,2026-01-13 13:15:14.514398,2026-01-13 13:15:16.457957,0 days 00:00:01.943559,0.5167612544435269,1.32865179404356,0.0491350605752845,2,1.7188203354216065,983,1.700134870491979e-05,12.064113763767018,0.9951224384466104,COMPLETE
11,0.007759680240516601,2026-01-13 13:15:16.458886,2026-01-13 13:15:18.398164,0 days 00:00:01.939278,0.5113362189729489,1.3141218847427827,0.045006655780884634,2,1.735838968072203,971,1.8612858136048997e-05,12.4324213079605,0.9974510416614174,COMPLETE
12,0.007746877949549083,2026-01-13 13:15:18.399084,2026-01-13 13:15:20.184397,0 days 00:00:01.785313,0.6690202417394194,1.3227253947445723,0.11427040487344878,2,1.8129296903331538,981,3.0998742910066686e-05,11.833775309530346,0.9944025739504858,COMPLETE
13,0.007787714670847443,2026-01-13 13:15:20.185333,2026-01-13 13:15:21.816782,0 days 00:00:01.631449,0.5963806395234983,1.085993997126084,0.11748374182600918,2,2.266603357382339,910,3.1038822574921226e-05,17.039918958127796,0.9787762832720057,COMPLETE
14,0.007628731507313488,2026-01-13 13:15:21.817690,2026-01-13 13:15:23.376654,0 days 00:00:01.558964,0.6536812525443247,1.6113987203514557,0.12821345644192242,2,3.557489900114935,915,4.463040220078156e-05,5.42822564039167,0.978293351479762,COMPLETE
15,0.0076477771487867205,2026-01-13 13:15:23.377546,2026-01-13 13:15:24.916296,0 days 00:00:01.538750,0.535372246700095,1.6230606902431044,0.151680106330765,2,3.986003087520014,904,0.0001291674710025069,4.896112855655307,0.9737758300654272,COMPLETE
16,0.008025206142619151,2026-01-13 13:15:24.917234,2026-01-13 13:15:26.594730,0 days 00:00:01.677496,0.658091195979441,1.6803002405370888,0.1739379725873315,2,4.0596971993896975,915,0.0001424751380308453,4.912304766046489,0.897874207318145,COMPLETE
17,0.007951799467772365,2026-01-13 13:15:26.595675,2026-01-13 13:15:28.093071,0 days 00:00:01.497396,0.527948387500591,2.20120464682388,0.1410169103505194,2,4.8553170272965325,781,0.00011035997780600306,4.693517428255979,0.8587607186065122,COMPLETE
18,0.007713750032193189,2026-01-13 13:15:28.094023,2026-01-13 13:15:30.046849,0 days 00:00:01.952826,0.6494054537728828,1.529223359578583,0.142507011179724,2,3.638231481000717,933,6.000251034939535e-05,6.322586731945419,0.9748854738694472,COMPLETE
19,0.007826207361422996,2026-01-13 13:15:30.047800,2026-01-13 13:15:31.603956,0 days 00:00:01.556156,0.5987646062315848,1.5439053212693457,0.14476966467121447,2,4.6007920253916925,715,9.9324811148759e-05,5.946160836756563,0.927343374111799,COMPLETE
