number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_gamma,params_learning_rate,params_max_depth,params_min_child_weight,params_n_estimators,params_reg_alpha,params_reg_lambda,params_subsample,state
0,0.004447799202721817,2026-01-15 02:43:11.457222,2026-01-15 02:43:15.564667,0 days 00:00:04.107445,0.8194791345048776,0.36665516809702203,0.01038330263107187,3,6.403064768189229,966,0.0003714567547036187,9.740866237696821,0.7445338039624747,COMPLETE
1,0.004652790873246714,2026-01-15 02:43:15.565561,2026-01-15 02:43:20.974363,0 days 00:00:05.408802,0.9700768220614113,0.6997563185455441,0.011296588777495278,13,1.722921311505608,558,0.019873333574983783,1.1298145412275409,0.8458265056434892,COMPLETE
2,0.004489884414614098,2026-01-15 02:43:20.975484,2026-01-15 02:43:24.998169,0 days 00:00:04.022685,0.7823945023698806,4.8386894276126755,0.0063074133100428755,3,1.7756159816583745,970,0.0001569942953785568,5.559952725968979,0.5519002849702381,COMPLETE
3,0.004494732666283085,2026-01-15 02:43:24.999114,2026-01-15 02:43:34.311835,0 days 00:00:09.312721,0.9350173558990409,2.394021453233659,0.004406547765066126,14,3.2844697844228348,1120,6.805672090749579e-08,4.112962920890758,0.8477599550943349,COMPLETE
4,0.004565270088685412,2026-01-15 02:43:34.312693,2026-01-15 02:43:43.092191,0 days 00:00:08.779498,0.6661858443915061,1.3865526269342836,0.0019392789593971882,10,2.4034267225096517,1380,0.06568721543968761,6.358657773317071,0.5527151711747219,COMPLETE
5,0.004523164049593016,2026-01-15 02:43:43.093239,2026-01-15 02:44:00.324313,0 days 00:00:17.231074,0.9183247703928925,1.7826683332056108,0.002043804088956285,11,1.711508727646475,1932,3.542633076363893e-07,3.1556848153942796,0.8648382720905372,COMPLETE
6,0.004497945580129763,2026-01-15 02:44:00.325324,2026-01-15 02:44:04.233168,0 days 00:00:03.907844,0.8487609200881321,1.1857588450386403,0.005792982233192431,5,6.304092714723233,656,0.0033201691415640244,8.915142090432099,0.5669532846344272,COMPLETE
7,0.004651051006232004,2026-01-15 02:44:04.234489,2026-01-15 02:44:16.660248,0 days 00:00:12.425759,0.7083369142954632,2.5464979660722378,0.0010036213505159833,10,1.7097867998002325,1645,0.010497799443168303,7.6153987239163285,0.6886881538385248,COMPLETE
8,0.0045463486701314525,2026-01-15 02:44:16.661180,2026-01-15 02:44:19.234446,0 days 00:00:02.573266,0.6828371048759586,2.187191392184016,0.0350859559914218,13,1.2312489818139019,243,0.1522994047048938,2.9651266453759058,0.8170371275419755,COMPLETE
9,0.004568050941745279,2026-01-15 02:44:19.235578,2026-01-15 02:44:21.220361,0 days 00:00:01.984783,0.5802589011556303,4.422286343107312,0.09763330350620993,4,4.784355094476354,498,0.008297846285121856,8.693466832274416,0.6624510848013637,COMPLETE
10,0.004686590173751333,2026-01-15 02:44:21.221449,2026-01-15 02:44:27.711575,0 days 00:00:06.490126,0.5038162330894169,0.33792216396376495,0.026552162095752015,6,9.595777935226103,980,5.693746129480716e-06,9.766628893547644,0.9889471177307855,COMPLETE
11,0.004476652909299789,2026-01-15 02:44:27.712443,2026-01-15 02:44:31.497437,0 days 00:00:03.784994,0.8084653021785326,4.46128078081914,0.011701380920993265,2,6.7762965929436625,987,0.00013962484151373476,5.761040621073547,0.5066381541319168,COMPLETE
12,0.004500699476897864,2026-01-15 02:44:31.498446,2026-01-15 02:44:36.154118,0 days 00:00:04.655672,0.8132964851843384,3.9001071728806345,0.022665058985175814,2,7.657676588771246,1286,6.572867144203884e-05,6.720494046606397,0.6706921876735676,COMPLETE
13,0.00453253844654388,2026-01-15 02:44:36.155113,2026-01-15 02:44:39.479282,0 days 00:00:03.324169,0.8648226989399894,3.259849150080936,0.05662673304721282,7,7.14090742996319,869,0.00025720326060009826,0.16504904126154596,0.968208384290512,COMPLETE
14,0.004484529348841408,2026-01-15 02:44:39.480295,2026-01-15 02:44:44.680330,0 days 00:00:05.200035,0.7571121131837703,3.4039776528787846,0.010306627545350977,2,5.141751120837776,1484,5.481859864360738e-06,7.627026397567399,0.5028472998833085,COMPLETE
15,0.0056946758597883045,2026-01-15 02:44:44.681321,2026-01-15 02:44:49.372990,0 days 00:00:04.691669,0.885197522184028,0.10502901323534974,0.1595772276047128,8,8.81046012963318,741,0.0008644220282002978,4.472742841171828,0.7553797986520195,COMPLETE
16,0.004544258827048744,2026-01-15 02:44:49.374271,2026-01-15 02:44:50.710245,0 days 00:00:01.335974,0.9982477769303798,2.958823434986974,0.015776301462506963,4,4.213515954457192,190,1.0785454957028317e-05,9.735353351843813,0.6144605473208228,COMPLETE
17,0.004451506622052587,2026-01-15 02:44:50.711507,2026-01-15 02:44:57.505765,0 days 00:00:06.794258,0.804512359906831,4.039115427442485,0.0032908722345957073,6,6.160250096710862,1213,3.300496051460352e-05,1.9477385138015726,0.7464421528245727,COMPLETE
18,0.004457016217878441,2026-01-15 02:44:57.506799,2026-01-15 02:45:05.865021,0 days 00:00:08.358222,0.730539401452353,3.8315903594947933,0.003175819034569818,6,5.920160508387962,1206,2.9714705660422264e-07,1.6401999613965081,0.7628733928732472,COMPLETE
19,0.00460092088574071,2026-01-15 02:45:05.865850,2026-01-15 02:45:23.381169,0 days 00:00:17.515319,0.6302414814875756,0.878840779402564,0.0010284723948581372,8,7.981232719732835,1705,0.9868060707439663,2.798430447686846,0.9153340103545038,COMPLETE
20,0.004462081859876507,2026-01-15 02:45:23.382080,2026-01-15 02:45:32.087907,0 days 00:00:08.705827,0.8458499087740028,1.7785866039545861,0.0028020307484208115,5,3.718507230287543,1580,1.2387115187243481e-08,1.4932671435139682,0.7163611616823085,COMPLETE
21,0.004461238656318073,2026-01-15 02:45:32.088786,2026-01-15 02:45:40.858754,0 days 00:00:08.769968,0.7488059156915388,3.863736836114049,0.0031239862852808268,6,5.963582867583471,1299,5.700073149332377e-07,1.8287570823978887,0.7763983494234338,COMPLETE
22,0.004466744164456907,2026-01-15 02:45:40.859632,2026-01-15 02:45:49.280047,0 days 00:00:08.420415,0.7253324702604188,3.9424062718793547,0.00702546754149454,6,5.885395273696754,1142,2.6023021628446472e-05,0.1644753067982001,0.7789630182634991,COMPLETE
23,0.00446108730440693,2026-01-15 02:45:49.281061,2026-01-15 02:45:56.632835,0 days 00:00:07.351774,0.7843256384915993,4.912829938881909,0.0038480363055640628,7,5.398672343823488,1201,8.337790311950799e-07,2.1570115026648193,0.7199014558970633,COMPLETE
24,0.00463373533911194,2026-01-15 02:45:56.633957,2026-01-15 02:46:00.513404,0 days 00:00:03.879447,0.6219503410624723,3.55114130392034,0.0020118418029346774,4,8.16356305280496,810,0.000932179994259923,3.862495637771916,0.8097156337066542,COMPLETE
25,0.004507736762721536,2026-01-15 02:46:00.514341,2026-01-15 02:46:03.100070,0 days 00:00:02.585729,0.822293985512534,3.0629301778548186,0.006082784901095547,9,6.832657418468803,399,1.1508479260502456e-07,0.9784489128010279,0.7277864772576422,COMPLETE
26,0.004550815743383277,2026-01-15 02:46:03.101281,2026-01-15 02:46:10.840017,0 days 00:00:07.738736,0.9026138296348893,2.7738541853258716,0.0015370359315651128,5,4.6229082033448385,1448,2.011673292300252e-06,5.003152689127601,0.6326034135455911,COMPLETE
27,0.004441907822295548,2026-01-15 02:46:10.840944,2026-01-15 02:46:15.324825,0 days 00:00:04.483881,0.7676821232348159,4.514110437876587,0.008674891816255258,3,5.709153196320297,1090,1.2619580376129614e-08,2.2611438492103497,0.9105018599466306,COMPLETE
28,0.004449215611011626,2026-01-15 02:46:15.325701,2026-01-15 02:46:18.629446,0 days 00:00:03.303745,0.7758729452596078,4.380589919105528,0.016579271293662195,3,3.10359957996752,863,2.0159548074783187e-08,2.4211623168672634,0.9092612381710532,COMPLETE
29,0.004430366930930185,2026-01-15 02:46:18.630483,2026-01-15 02:46:20.918722,0 days 00:00:02.288239,0.9514589805792009,4.570323107836583,0.01911479854431272,3,3.3124889032498435,627,1.186508355757804e-08,3.4877470058653888,0.9099040610219972,COMPLETE
