number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_gamma,params_learning_rate,params_max_depth,params_min_child_weight,params_n_estimators,params_reg_alpha,params_reg_lambda,params_subsample,state
0,0.004235115067723553,2026-01-15 02:32:31.663518,2026-01-15 02:32:43.063547,0 days 00:00:11.400029,0.6687653731486992,0.6506931740395477,0.004244889479296891,8,3.1272973689809533,492,3.805358559559563e-08,3.075800087165416,0.9630068496870704,COMPLETE
1,0.004210987132639765,2026-01-15 02:32:43.064461,2026-01-15 02:33:21.407987,0 days 00:00:38.343526,0.8467815429133314,1.2485445935000128,0.005573402598047312,4,2.237266999457814,1976,0.5955189838908928,0.20674286605049147,0.9569804500490544,COMPLETE
2,0.0042078384761408995,2026-01-15 02:33:21.409020,2026-01-15 02:33:25.575678,0 days 00:00:04.166658,0.8028587293352233,1.6826395592716603,0.034383571119368975,13,4.167164105629299,212,3.3311714451145083e-06,2.7170576873266596,0.8230503786573296,COMPLETE
3,0.004328133683403756,2026-01-15 02:33:25.576965,2026-01-15 02:33:27.101028,0 days 00:00:01.524063,0.9017007412993673,1.1625418041129416,0.0179046436420352,5,5.447934352676123,107,4.87081696853994e-06,9.7679807633775,0.9476981793067609,COMPLETE
4,0.004232380258900813,2026-01-15 02:33:27.102915,2026-01-15 02:33:33.389365,0 days 00:00:06.286450,0.6965717180716618,0.48089771382467006,0.06862209384767136,2,9.41679353300955,814,5.891927406401133e-06,2.4618275533482405,0.9913718131827703,COMPLETE
5,0.00459255516210769,2026-01-15 02:33:33.390539,2026-01-15 02:33:37.449927,0 days 00:00:04.059388,0.5841421404824516,4.800158928282037,0.0023349831544157316,3,6.894012298358145,464,3.5998482827903275e-08,9.23706392230338,0.9486945451326598,COMPLETE
6,0.004147014116278843,2026-01-15 02:33:37.451139,2026-01-15 02:34:02.296433,0 days 00:00:24.845294,0.9243121907522992,2.3334019290109493,0.00260931671220607,10,6.802772681866862,1423,0.0012731501763542338,3.8245491349725773,0.9054293255470198,COMPLETE
7,0.00453654227833712,2026-01-15 02:34:02.297303,2026-01-15 02:34:20.314828,0 days 00:00:18.017525,0.9774692643656154,1.0167902080498337,0.024707651819000028,13,3.1176972718168656,1162,0.2041529692912582,1.2562212298547777,0.8543151675158092,COMPLETE
8,0.004334756723603454,2026-01-15 02:34:20.315911,2026-01-15 02:34:32.989697,0 days 00:00:12.673786,0.9842001712289177,0.08778929374882893,0.0035229294330199777,13,5.268777965543036,511,8.071638890712443e-05,5.826862222787234,0.6639239718159866,COMPLETE
9,0.004615626636895119,2026-01-15 02:34:32.990665,2026-01-15 02:34:55.654088,0 days 00:00:22.663423,0.9957127400829173,1.4688059694051754,0.0011456482662156179,10,7.215293169548991,690,0.00014808921392568886,1.9937289348582226,0.773306194601876,COMPLETE
10,0.0041066423985335575,2026-01-15 02:34:55.655460,2026-01-15 02:35:16.315243,0 days 00:00:20.659783,0.5095146573557313,3.261270744781667,0.009050705550136972,9,9.9752634676447,1460,0.008493424968534157,6.165555101310634,0.5510899348195288,COMPLETE
11,0.00412485813475789,2026-01-15 02:35:16.317700,2026-01-15 02:35:38.756234,0 days 00:00:22.438534,0.527144874420525,3.1457080082497155,0.008515031821487105,9,9.617423509164857,1469,0.010375711795116472,5.60786672921572,0.5234583914721699,COMPLETE
12,0.004127582822452917,2026-01-15 02:35:38.757284,2026-01-15 02:36:16.890058,0 days 00:00:38.132774,0.5104801905362097,3.839639896167254,0.009715734425258726,7,9.975970235067832,1661,0.014439510424152166,6.637115814732221,0.5343535831949608,COMPLETE
13,0.004093420579366371,2026-01-15 02:36:16.891047,2026-01-15 02:36:28.055667,0 days 00:00:11.164620,0.5201590759748206,3.2807240008586946,0.009788575475331714,10,8.560518512247974,1324,0.015914432046029124,7.470315833420685,0.5042340383324255,COMPLETE
14,0.004196604970074352,2026-01-15 02:36:28.056782,2026-01-15 02:36:32.740203,0 days 00:00:04.683421,0.6146802932243469,3.488283401220067,0.12679382002938874,15,8.281320177542918,1165,0.016461924154763965,7.769740103952011,0.6277342052329817,COMPLETE
15,0.004113641923284202,2026-01-15 02:36:32.741353,2026-01-15 02:36:53.063659,0 days 00:00:20.322306,0.5825547054530889,4.374455795489726,0.04751819332960006,6,8.386611359710844,1741,0.0008083948911204018,7.8602712181575365,0.6030062650568341,COMPLETE
16,0.004145853210672251,2026-01-15 02:36:53.064862,2026-01-15 02:37:10.794569,0 days 00:00:17.729707,0.7312251221305313,2.523831139857084,0.012771848609344601,11,8.294716500569324,1313,0.0875242161428351,4.732546553521509,0.719966964401142,COMPLETE
17,0.004108229355186184,2026-01-15 02:37:10.795675,2026-01-15 02:37:16.730330,0 days 00:00:05.934655,0.6354272266382758,2.7076872337651414,0.007798423803058568,8,8.81133308547714,924,0.0035413388253140044,7.477278844734146,0.5070578378468312,COMPLETE
18,0.004415915464969678,2026-01-15 02:37:16.731427,2026-01-15 02:37:26.625914,0 days 00:00:09.894487,0.5436641625044795,4.178520519451067,0.0010667820190430385,11,0.8748842000172923,1658,0.049454459965449525,8.80727568352552,0.5728532659083623,COMPLETE
19,0.004327127037199225,2026-01-15 02:37:26.627020,2026-01-15 02:37:40.561810,0 days 00:00:13.934790,0.5041665456032397,2.0100174291976725,0.017874648891368028,6,6.207281802403271,1999,0.00019840097736118406,4.5979029194362715,0.6969931894251122,COMPLETE
20,0.0042489535625042,2026-01-15 02:37:40.562810,2026-01-15 02:37:45.451844,0 days 00:00:04.889034,0.7692593935299885,3.089713789215911,0.10014364690543673,15,7.494629905059368,1045,3.2470851214655185e-05,6.633479471388241,0.5739451940915669,COMPLETE
21,0.00413132439221209,2026-01-15 02:37:45.453221,2026-01-15 02:37:51.489281,0 days 00:00:06.036060,0.6329334963310984,2.8144500305631435,0.007352338974187029,8,9.09289897355387,835,0.002332770578074459,7.505574936680972,0.5066408874585975,COMPLETE
22,0.004094954626674364,2026-01-15 02:37:51.490223,2026-01-15 02:38:00.276118,0 days 00:00:08.785895,0.5686709988118401,3.6165736925084118,0.012342028819092951,9,8.626126549705909,1029,0.00517076737155153,6.646990454272357,0.5553522757093597,COMPLETE
23,0.00411856737132204,2026-01-15 02:38:00.277290,2026-01-15 02:38:09.156665,0 days 00:00:08.879375,0.5608840492248728,3.669550067594702,0.013099449485669686,11,7.695473519765505,1300,0.03233526815768396,6.281319003086633,0.5643179404495074,COMPLETE
24,0.00415599384853432,2026-01-15 02:38:09.157582,2026-01-15 02:38:17.215892,0 days 00:00:08.058310,0.5871619003790437,3.387269158924951,0.025453555910783205,10,9.970500504673803,1518,0.37424927495501004,8.34420935432536,0.6308352790020773,COMPLETE
25,0.004118898166235112,2026-01-15 02:38:17.216993,2026-01-15 02:38:23.288450,0 days 00:00:06.071457,0.5416465763784502,4.1153613135633735,0.005500391339716728,9,6.122911897374963,1053,0.0006198540912499569,6.880664280129059,0.5500223539418098,COMPLETE
26,0.004316319080876334,2026-01-15 02:38:23.289368,2026-01-15 02:38:31.640015,0 days 00:00:08.350647,0.5005410091095559,4.848121086549927,0.0018867204965681093,12,8.952365348806012,1243,0.005638939709605256,5.525072705388914,0.6115981208219436,COMPLETE
27,0.004180615984756753,2026-01-15 02:38:31.641172,2026-01-15 02:38:44.451155,0 days 00:00:12.809983,0.6618097592904338,3.0354118778469834,0.011745135582855995,7,8.031175005705132,1855,0.10094153055443245,4.260249941775297,0.6658336774710892,COMPLETE
28,0.004288737715359207,2026-01-15 02:38:44.452069,2026-01-15 02:38:54.688339,0 days 00:00:10.236270,0.6049375586934278,2.2883092681383257,0.02596511735706527,9,9.048731611624707,1555,0.7841795432334752,5.118198739740659,0.5937705708350024,COMPLETE
29,0.004136385771327144,2026-01-15 02:38:54.689423,2026-01-15 02:39:05.373890,0 days 00:00:10.684467,0.691212234469814,3.8545130354549015,0.004735154280947536,7,6.36791745333793,1371,0.006178649044386548,7.030590915249835,0.7527941700200489,COMPLETE
