number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_gamma,params_learning_rate,params_max_depth,params_min_child_weight,params_n_estimators,params_reg_alpha,params_reg_lambda,params_subsample,state
0,0.00958047462699476,2026-01-13 13:36:46.021679,2026-01-13 13:36:47.831806,0 days 00:00:01.810127,0.6091926688079223,3.1157283179885766,0.024113267985324746,14,3.656861969825122,470,0.01405705114728828,5.96810025551229,0.7493724631646412,COMPLETE
1,0.009729706159398867,2026-01-13 13:36:47.832700,2026-01-13 13:36:49.055720,0 days 00:00:01.223020,0.5472644735194884,4.215829341414564,0.01437940983786307,16,8.631224569559741,329,0.02114985133609402,5.8083660231632255,0.6255614490984279,COMPLETE
2,0.00961468271482898,2026-01-13 13:36:49.056600,2026-01-13 13:36:50.574187,0 days 00:00:01.517587,0.5886815315266315,3.7462261209666416,0.023138769899568718,15,6.14946556246522,455,0.0016811805265311774,3.2735039204716787,0.7648044733576057,COMPLETE
3,0.009660996895035991,2026-01-13 13:36:50.575132,2026-01-13 13:36:52.397548,0 days 00:00:01.822416,0.5947316499281189,2.9523266486344006,0.012389075744034063,16,7.400856122957512,411,0.0062763651776205735,6.822228512093323,0.6889128115762538,COMPLETE
4,0.009612046317561794,2026-01-13 13:36:52.398475,2026-01-13 13:36:53.936233,0 days 00:00:01.537758,0.5731232854866819,2.834360305645009,0.02903885220021553,16,8.578611906262442,365,0.007083141968323126,5.121828763144057,0.6297004072931565,COMPLETE
5,0.009566036442972766,2026-01-13 13:36:53.937114,2026-01-13 13:36:55.499247,0 days 00:00:01.562133,0.5487420091898734,4.384346869421062,0.016840024478722484,14,5.5778059501983845,447,0.0014696332527694338,4.04645877450886,0.5886023708305309,COMPLETE
6,0.00984816989285639,2026-01-13 13:36:55.500183,2026-01-13 13:36:56.983784,0 days 00:00:01.483601,0.5584983563732685,4.390468624176206,0.008882622788618637,15,10.490009682320274,401,0.005556315255492655,9.150723876414055,0.710002748348892,COMPLETE
7,0.009579274201287024,2026-01-13 13:36:56.984704,2026-01-13 13:36:58.820810,0 days 00:00:01.836106,0.5003906343083073,2.9043739428571085,0.02219627871509155,14,6.998438026156308,465,0.001845180688346548,9.119610991064528,0.5980409808504141,COMPLETE
8,0.009603926080273686,2026-01-13 13:36:58.821725,2026-01-13 13:37:00.258743,0 days 00:00:01.437018,0.517217708684369,4.2707232605616605,0.025951158037088674,16,9.644948871668475,529,0.020059455803334444,6.485948565982513,0.6559936452380815,COMPLETE
9,0.009547430956668133,2026-01-13 13:37:00.259657,2026-01-13 13:37:01.624833,0 days 00:00:01.365176,0.5021310952278725,3.2871970324043818,0.03240023067198845,14,4.868078084435398,392,0.005584252259972757,9.541359615251968,0.6322740340375836,COMPLETE
