number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_gamma,params_learning_rate,params_max_depth,params_min_child_weight,params_n_estimators,params_reg_alpha,params_reg_lambda,params_subsample,state
0,0.003687109993257112,2026-01-15 02:24:17.213064,2026-01-15 02:24:24.424926,0 days 00:00:07.211862,0.7076924847992554,3.029090364375657,0.03150974600113904,3,4.407419910998377,637,9.406848011696359e-06,1.9925048002173336,0.6038715168658626,COMPLETE
1,0.003884061699487769,2026-01-15 02:24:24.425757,2026-01-15 02:24:49.805633,0 days 00:00:25.379876,0.5415480884197408,0.3016969847407347,0.01338576941463996,11,6.003740279924127,1379,0.15510188815209774,0.3464131403912054,0.6534242629336552,COMPLETE
2,0.0036549312846350774,2026-01-15 02:24:49.806482,2026-01-15 02:24:52.965266,0 days 00:00:03.158784,0.8956677893966263,3.256801557375641,0.02718793283402749,7,4.241575611770528,234,2.559833066228789e-06,9.526754763592583,0.5931262587347916,COMPLETE
3,0.003774235334279406,2026-01-15 02:24:52.966474,2026-01-15 02:25:04.195420,0 days 00:00:11.228946,0.8726004739663182,1.71403567761566,0.0023220662029566548,4,8.280955860911126,989,2.34678602007645e-08,1.701548731829209,0.5358989992165883,COMPLETE
4,0.004260038132744316,2026-01-15 02:25:04.196342,2026-01-15 02:25:11.469336,0 days 00:00:07.272994,0.7499465062209011,0.5668011894356656,0.18582405353080556,13,7.027661049818922,452,0.017178263136058,8.544477495026117,0.7836958052903251,COMPLETE
5,0.003943885089741643,2026-01-15 02:25:11.470199,2026-01-15 02:25:26.831802,0 days 00:00:15.361603,0.6291653679971534,0.2540604402276647,0.038002536929591525,3,4.618770750247113,1525,0.12094977674801272,6.359442091756449,0.7870861412969172,COMPLETE
6,0.0038077683204576027,2026-01-15 02:25:26.833619,2026-01-15 02:25:38.435495,0 days 00:00:11.601876,0.5860255622961891,2.02759334884336,0.1475387544676694,5,3.9967428055505985,1257,5.385246690765653e-07,5.672855214201162,0.9506141418901541,COMPLETE
7,0.003909934238075489,2026-01-15 02:25:38.436475,2026-01-15 02:25:40.113177,0 days 00:00:01.676702,0.7122296423547345,1.7538661643687843,0.015399717660327678,10,6.088995721751907,126,4.3800406258451964e-07,8.210991294886714,0.8024672379428306,COMPLETE
8,0.003931109130705963,2026-01-15 02:25:40.115070,2026-01-15 02:26:00.525635,0 days 00:00:20.410565,0.6470862363643373,1.2349611137415724,0.03454407291877934,10,1.4822193011082827,1202,0.0149540396927764,9.910252392078984,0.9231827217809438,COMPLETE
9,0.003760365735267543,2026-01-15 02:26:00.526552,2026-01-15 02:26:14.831370,0 days 00:00:14.304818,0.5864178650049461,2.0453840936771073,0.02656766698265748,2,2.5492495040978707,1729,0.0034323870990355843,1.4198567772721058,0.6005131084405559,COMPLETE
10,0.00363004433447115,2026-01-15 02:26:14.832270,2026-01-15 02:26:40.664190,0 days 00:00:25.831920,0.9981364351246679,4.835468022885641,0.002893850248765044,7,9.611196685652807,1986,7.882935203536526e-05,4.2455761604427975,0.5095476147042977,COMPLETE
11,0.0037107882484335164,2026-01-15 02:26:40.666994,2026-01-15 02:27:06.528172,0 days 00:00:25.861178,0.9850810812384334,4.767693209429659,0.001774932006286267,7,9.678010362268541,1965,6.991727926136851e-05,3.603416671728673,0.5049327874104023,COMPLETE
12,0.0036641718828575,2026-01-15 02:27:06.529109,2026-01-15 02:27:12.796607,0 days 00:00:06.267498,0.9965402364840369,4.8377519083071325,0.005133085599181355,7,9.757037189662507,849,0.00012545139949336217,4.170099457275445,0.6815144853549424,COMPLETE
